,Rank,Name,Name.1,Nation,Points,Rovereto 14.09.2002,Lecco 26.06.2002,Fiera di Primiero 14.06.2002,2002,event,gender
0,1,Motteau,Myriam,FRA,100.00,1. 100.00,9. (37.00),4. (55.00),2002,boulder,WOMEN
1,1,Perlova,Nataliya,UKR,100.00,3. (65.00),8. (40.00),1. 100.00,2002,boulder,WOMEN
2,1,Rands,Lisa,USA,100.00,,1. 100.00,8. (40.00),2002,boulder,WOMEN
3,4,Iakovleva,Olga,RUS,80.00,6. (47.00),11. (31.00),2. 80.00,2002,boulder,WOMEN
4,4,Lee,Lauren,USA,80.00,2. 80.00,,,2002,boulder,WOMEN
5,4,Theroux,Corinne,FRA,80.00,16. (20.00),2. 80.00,5. (51.00),2002,boulder,WOMEN
6,7,Levet,Sandrine,FRA,65.00,,3. 65.00,,2002,boulder,WOMEN
7,7,Marchisio,Stella,ITA,65.00,13. (26.00),19. (14.00),3. 65.00,2002,boulder,WOMEN
8,9,Giammarco,Giulia,ITA,55.00,14. (24.00),4. 55.00,6. (47.00),2002,boulder,WOMEN
9,9,Lavarda,Jenny,ITA,55.00,4. 55.00,,13. (26.00),2002,boulder,WOMEN
10,11,Kotasova-Kostruhova,Vera,CZE,51.00,7. (43.00),5. 51.00,7. (43.00),2002,boulder,WOMEN
11,11,Ritsch,Isabella,AUT,51.00,5. 51.00,15. (22.00),10. (34.00),2002,boulder,WOMEN
12,13,Abgrall,Emilie,FRA,47.00,15. (22.00),6. 47.00,,2002,boulder,WOMEN
13,14,Aguirre,Leire,ESP,43.00,11. (31.00),7. 43.00,9. (37.00),2002,boulder,WOMEN
14,15,Haager,Nicola,GER,40.00,8. 40.00,,,2002,boulder,WOMEN
15,16,Son,Mélanie,FRA,37.00,9. 37.00,,,2002,boulder,WOMEN
16,17,Abramchuk,Yulia,RUS,34.00,21. (10.00),10. 34.00,,2002,boulder,WOMEN
17,17,Rogeaux,Fanny,FRA,34.00,10. 34.00,12. (28.00),,2002,boulder,WOMEN
18,19,De Grandi,Stefania,ITA,31.00,12. (28.00),21. (10.00),11. 31.00,2002,boulder,WOMEN
19,20,Ogawa,Tomoko,JPN,28.00,25. (6.00),16. (20.00),12. 28.00,2002,boulder,WOMEN
20,21,Choumilova,Elena,RUS,26.00,,13. 26.00,,2002,boulder,WOMEN
21,22,Lipenska,Helena,CZE,24.00,,,14. 24.00,2002,boulder,WOMEN
22,22,Nieselt,Eva,GER,24.00,22. (9.00),14. 24.00,16. (20.00),2002,boulder,WOMEN
23,24,Nagakai,Hoshiko,JPN,22.00,,,15. 22.00,2002,boulder,WOMEN
24,25,Go,Mi-Sun,KOR,18.00,,17. 18.00,,2002,boulder,WOMEN
25,25,Liu,Hiu Ying,HKG,18.00,,25. (6.00),17. 18.00,2002,boulder,WOMEN
26,25,Minoret,Chloé,FRA,18.00,17. 18.00,,,2002,boulder,WOMEN
27,28,Delphino,Amélie,FRA,16.00,,18. 16.00,,2002,boulder,WOMEN
28,28,Marchandise,Anne,FRA,16.00,,23. (8.00),18. 16.00,2002,boulder,WOMEN
29,28,Martin Sancho,Berta,ESP,16.00,18. 16.00,,,2002,boulder,WOMEN
30,31,Bacher,Barbara,AUT,14.00,19. 14.00,,,2002,boulder,WOMEN
31,31,Choi,Shun-Yuk,HKG,14.00,,29. (2.00),19. 14.00,2002,boulder,WOMEN
32,31,Martindale,Alison,GBR,14.00,19. 14.00,,,2002,boulder,WOMEN
33,34,Jensen,Sheila,DEN,12.00,,,20. 12.00,2002,boulder,WOMEN
34,34,Salvadori,Claudia,ITA,12.00,,20. 12.00,22. (9.00),2002,boulder,WOMEN
35,36,Raveyre,Emmanuelle,FRA,10.00,,,21. 10.00,2002,boulder,WOMEN
36,37,Franko,Lucka,SLO,9.00,,22. 9.00,,2002,boulder,WOMEN
37,38,Donati,Cinzia,ITA,8.00,,24. (7.00),23. 8.00,2002,boulder,WOMEN
38,38,Hughes,Lucinda,GBR,8.00,23. 8.00,,,2002,boulder,WOMEN
39,40,Gaggero,Flavia,ITA,7.00,24. 7.00,26. (5.00),,2002,boulder,WOMEN
40,40,Mathieu,Claire,FRA,7.00,,,24. 7.00,2002,boulder,WOMEN
41,42,Renwick,Sadie,GBR,5.00,26. 5.00,,,2002,boulder,WOMEN
42,43,Decorps,Tiffen,FRA,4.00,27. 4.00,,,2002,boulder,WOMEN
43,43,Gordon,Jo,GBR,4.00,27. 4.00,,,2002,boulder,WOMEN
44,43,Hawke,Emma,NZL,4.00,27. 4.00,,,2002,boulder,WOMEN
45,43,Zakharova,Olga,UKR,4.00,,27. 4.00,,2002,boulder,WOMEN
46,47,Shirawa,Ana Luisa,BRA,3.00,,28. 3.00,,2002,boulder,WOMEN
47,48,Valentim,Vanessa,BRA,1.00,,30. 1.00,,2002,boulder,WOMEN
48,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,boulder,WOMEN
