,Rank,Name,Name.1,Nation,Points,Singapore 23.08.2002,Lecco 24.06.2002,Yekaterinburg 3 25.05.2002,Yekaterinburg 2 22.05.2002,Yekaterinburg 17.05.2002,2002,event,gender
0,1,Ryepko,Olena,UKR,460.00,1. 100.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2002,speed,WOMEN
1,2,Piratinskaya,Mayya,RUS,269.00,4. 55.00,8. 40.00,2. 80.00,6. 47.00,6. 47.00,2002,speed,WOMEN
2,3,Yurina,Valentina,RUS,263.00,8. 40.00,2. 80.00,6. 47.00,3. 65.00,11. 31.00,2002,speed,WOMEN
3,4,Zakharova,Olga,UKR,260.00,,3. 65.00,4. 55.00,1. 100.00,8. 40.00,2002,speed,WOMEN
4,5,Saulevich,Olesya,RUS,243.00,5. 51.00,7. 43.00,7. 43.00,5. 51.00,4. 55.00,2002,speed,WOMEN
5,6,Podgorbounskikh,Zosia,RUS,214.00,,9. 37.00,10. 34.00,7. 43.00,1. 100.00,2002,speed,WOMEN
6,7,Stenkovaya,Anna,RUS,170.00,,5. 51.00,5. 51.00,8. 40.00,12. 28.00,2002,speed,WOMEN
7,8,Ochtchepkova,Olga,RUS,160.00,,,8. 40.00,4. 55.00,3. 65.00,2002,speed,WOMEN
8,9,Ostapenko,Olena,UKR,157.00,,4. 55.00,11. 31.00,10. 34.00,9. 37.00,2002,speed,WOMEN
9,10,Sutkina,Svetlana,RUS,144.00,,,3. 65.00,12. 28.00,5. 51.00,2002,speed,WOMEN
10,11,Ryzhkova,Margarita,RUS,97.00,,,12. 28.00,13. 26.00,7. 43.00,2002,speed,WOMEN
11,12,Abramchuk,Yulia,RUS,81.00,,6. 47.00,,,10. 34.00,2002,speed,WOMEN
12,13,Hendrawati,Agung Ethi,INA,80.00,2. 80.00,,,,,2002,speed,WOMEN
13,14,Kleochina,Olesia,RUS,74.00,,,9. 37.00,9. 37.00,,2002,speed,WOMEN
14,15,Yuniar,Yuyun,INA,65.00,3. 65.00,,,,,2002,speed,WOMEN
15,16,Chkadua,Katarina,GEO,50.00,,,14. 24.00,,13. 26.00,2002,speed,WOMEN
16,17,Choi,Shun-Yuk,HKG,47.00,6. 47.00,,,,,2002,speed,WOMEN
17,18,Li,Chunhua,CHN,43.00,7. 43.00,,,,,2002,speed,WOMEN
18,19,Forestier,Monique,AUS,37.00,9. 37.00,,,,,2002,speed,WOMEN
19,20,Lesaca,Lissa,PHI,34.00,10. 34.00,,,,,2002,speed,WOMEN
20,20,Yun,Gyong-Im,KOR,34.00,,10. 34.00,,,,2002,speed,WOMEN
21,22,Evstigneeva,Olga,RUS,31.00,,,,11. 31.00,,2002,speed,WOMEN
22,22,Twang,Xiao Hui,SGP,31.00,11. 31.00,,,,,2002,speed,WOMEN
23,22,Valentim,Vanessa,BRA,31.00,,11. 31.00,,,,2002,speed,WOMEN
24,25,Huang,Li-Ping,CHN,28.00,12. 28.00,,,,,2002,speed,WOMEN
25,25,Shirawa,Ana Luisa,BRA,28.00,,12. 28.00,,,,2002,speed,WOMEN
26,27,Chung,Sue Ann,SGP,26.00,13. 26.00,,,,,2002,speed,WOMEN
27,27,Krasilnokova,Yekaterin,KAZ,26.00,,,13. 26.00,,,2002,speed,WOMEN
28,29,Neliwati,Evi,INA,24.00,14. 24.00,,,,,2002,speed,WOMEN
29,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,speed,WOMEN
