,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Rovereto 12.09.2003,Argentiere 25.07.2003,Lecco Bouldern 25.06.2003,Fiera di Primiero 13.06.2003,Yekaterinburg B+S 30.05.2003,2003,event,gender
0,1,Meyer,Jérôme,FRA,430.00,1. 100.00,5. (51.00),1. 100.00,1. 100.00,3. 65.00,3. 65.00,2003,boulder,MEN
1,2,Rakhmetov,Salavat,RUS,415.00,2. 80.00,1. 100.00,15. (22.00),4. 55.00,1. 100.00,2. 80.00,2003,boulder,MEN
2,3,DU LAC,Daniel,FRA,309.00,6. 47.00,2. 80.00,4. 55.00,6. 47.00,2. 80.00,14. (24.00),2003,boulder,MEN
3,4,Kazbekov,Serik,UKR,263.00,4. 55.00,9. 37.00,5. 51.00,3. 65.00,4. 55.00,12. (28.00),2003,boulder,MEN
4,5,Oleksy,Tomasz,POL,232.00,16. 20.00,6. 47.00,,11. 31.00,10. 34.00,1. 100.00,2003,boulder,MEN
5,6,Laurence,Ludovic,FRA,185.00,9. 37.00,10. 34.00,11. 31.00,8. 40.00,13. (26.00),7. 43.00,2003,boulder,MEN
6,7,Jongeneelen,Wouter,NED,172.00,21. (10.00),4. 55.00,9. 37.00,10. 34.00,16. 20.00,13. 26.00,2003,boulder,MEN
7,8,Core,Christian,ITA,167.00,,23. 8.00,3. 65.00,7. 43.00,5. 51.00,,2003,boulder,MEN
8,8,Fischhuber,Kilian,AUT,167.00,15. 22.00,3. 65.00,8. 40.00,18. 16.00,14. 24.00,,2003,boulder,MEN
9,10,Gaidioz,Loïc,FRA,164.00,10. 34.00,15. 22.00,7. 43.00,27. (4.00),17. 18.00,6. 47.00,2003,boulder,MEN
10,11,Dutray,Mathieu,FRA,116.00,12. 28.00,11. 31.00,23. 8.00,,9. 37.00,20. 12.00,2003,boulder,MEN
11,12,Julien,Stephane,FRA,108.00,,12. 28.00,,28. 3.00,15. 22.00,4. 55.00,2003,boulder,MEN
12,13,Son,Sangwon,KOR,106.00,13. 26.00,,2. 80.00,,,,2003,boulder,MEN
13,14,Cehovin,Urh,SLO,101.00,26. 5.00,24. 7.00,,14. 24.00,11. 31.00,10. 34.00,2003,boulder,MEN
