,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2007,Valence 02.11.2007,Kazo 13.10.2007,Puurs 28.09.2007,Qinghai 11.08.2007,Chamonix 11.07.2007,Zürich 15.06.2007,Imst 11.05.2007,2007,event,gender
0,1,Vidmar,Maja,SLO,634.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,21. (10.00),10. 34.00,2007,lead,WOMEN
1,2,Eiter,Angela,AUT,513.00,13. 26.00,2. 80.00,6. 47.00,2. 80.00,2. 80.00,18. (16.00),1. 100.00,1. 100.00,2007,lead,WOMEN
2,3,Sarkany,Muriel,BEL,401.00,8. 40.00,4. 55.00,8. 40.00,5. 51.00,4. 55.00,2. 80.00,9. (37.00),2. 80.00,2007,lead,WOMEN
3,4,Gros,Natalija,SLO,330.00,9. 37.00,3. 65.00,3. 65.00,11. 31.00,5. 51.00,11. (31.00),6. 47.00,10. 34.00,2007,lead,WOMEN
4,5,Anda Villanueva,Irati,ESP,329.00,2. 80.00,9. 37.00,2. 80.00,4. 55.00,21. 10.00,26. (5.00),7. 43.00,14. 24.00,2007,lead,WOMEN
5,6,Markovic,Mina,SLO,324.00,6. 47.00,7. 43.00,10. 34.00,9. 37.00,17. (18.00),8. 40.00,2. 80.00,7. 43.00,2007,lead,WOMEN
6,7,Durif,Charlotte,FRA,303.00,5. 51.00,11. 31.00,5. 51.00,15. (22.00),6. 47.00,12. 28.00,4. 55.00,8. 40.00,2007,lead,WOMEN
7,8,Ciavaldini,Caroline,FRA,296.00,4. 55.00,6. 47.00,9. 37.00,6. 47.00,7. 43.00,5. 51.00,,18. 16.00,2007,lead,WOMEN
8,9,Kobayashi,Yuka,JPN,280.00,,8. 40.00,7. 43.00,7. 43.00,3. 65.00,16. 20.00,5. 51.00,17. 18.00,2007,lead,WOMEN
9,10,Eyer,Alexandra,SUI,265.00,7. 43.00,25. (6.00),13. 26.00,8. 40.00,12. 28.00,4. 55.00,17. 18.00,4. 55.00,2007,lead,WOMEN
10,11,Saurwein,Katharina,AUT,234.00,16. 20.00,17. (18.00),13. 26.00,10. 34.00,9. 37.00,13. 26.00,13. 26.00,3. 65.00,2007,lead,WOMEN
11,12,Chereshneva,Yana,RUS,213.00,10. 34.00,13. 26.00,,17. 18.00,8. 40.00,3. 65.00,17. 18.00,20. 12.00,2007,lead,WOMEN
